Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Pourc,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,Catégorie,image SAQ,image LCBO
Château Le Thil Comte Clary 2009,Château Le Thil Comte Clary Blanc 2009,"38,75","34,85","3,9","11,2%",750,750,Vin blanc,White Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12308483-1?&scl=1,
Château Les Ormes de Pez 2010,Château Les Ormes de Pez 2010,"55,25","54,85","0,4","0,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11636160-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/256354/images/full.jpeg
Château Lespault Martillac 2009,Château Lespault-Martillac 2009,"44,5","46,85","-2,35","-5,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11378658-1?&scl=1,
Château Malartic-Lagravière 2010,Château Malartic-Lagravière 2010,90,"94,85","-4,85","-5,1%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11590288-1?&scl=1,
Château Malescot St-Exupéry 2010,Château Malescot St. Exupéry 2010,145,"149,85","-4,85","-3,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11571757-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/261552/images/full.jpeg
Château Malescot St-Exupéry 2011,Château Malescot St. Exupéry 2011,"97,25","89,85","7,4","8,2%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/12383379-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/301101/images/full.jpeg
Château Manon La Lagune 2010,Château Manon La Lagune 2010,"20,2","21,95","-1,75","-8,0%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10388926-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/365890/images/full.jpeg
Château Nénin 2000,Château Nenin 2000,195,123,72,"58,5%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11094313-1?&scl=1,
Château Pape Clément 2006,Château Pape Clément 2006,249,"177,95","71,05","39,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/10859652-1?&scl=1,
Château Pape Clément 2009,Château Pape Clément 2009,231,"244,95","-13,95","-5,7%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11378674-1?&scl=1,
Château Pavie-Macquin 2010,Château Pavie-Macquin 2010,195,"199,85","-4,85","-2,4%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/11520335-1?&scl=1,
Château Peyros Vieilles Vignes 2009,Château Peyros Vieilles Vignes Madiran 2009,"20,25","18,95","1,3","6,9%",750,750,Vin rouge,Red Wine,Vin,http://s7d9.scene7.com/is/image/SAQ/00488742-1?&scl=1,https://dx5vpyka4lqst.cloudfront.net/products/234997/images/full.jpeg
