Nom SAQ,Nom LCBO,Prix SAQ,Prix LCBO,Différence,Diff. %,Volume SAQ,Volume SAQ,Volume LCBO,Type SAQ,Type LCBO,image SAQ,image LCBO
Beefeater,Beefeater London Dry Gin,33.75,38,-4.25,-0.11,"1,14 L",1140,1140,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11405679-1,https://dx5vpyka4lqst.cloudfront.net/products/209213/images/full.jpeg
Beefeater,Beefeater London Dry Gin,33.75,58,-24.25,-0.42,"1,14 L",1140,1750,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11405679-1,https://dx5vpyka4lqst.cloudfront.net/products/56622/images/full.jpeg
Beefeater,Beefeater London Dry Gin,33.75,14,19.75,1.41,"1,14 L",1140,375,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11405679-1,https://dx5vpyka4lqst.cloudfront.net/products/7369/images/full.jpeg
Beefeater,Beefeater London Dry Gin,33.75,7,26.75,3.82,"1,14 L",1140,200,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11405679-1,https://dx5vpyka4lqst.cloudfront.net/products/268748/images/full.jpeg
Beefeater,Beefeater 24 - London Dry Gin,33.75,34,-0.25,-0.01,"1,14 L",1140,750,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11405679-1,https://dx5vpyka4lqst.cloudfront.net/products/122499/images/full.jpeg
Beefeater,Beefeater Burrough's Reserve Gin,33.75,89,-55.25,-0.62,"1,14 L",1140,700,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11405679-1,https://dx5vpyka4lqst.cloudfront.net/products/397679/images/full.jpeg
Bombay Sapphire,Bombay Sapphire London Dry,39.75,39,0.75,0.02,"1,14 L",1140,1140,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11530841-1,https://dx5vpyka4lqst.cloudfront.net/products/217281/images/full.jpeg
Bombay Sapphire,Bombay Sapphire London Dry Gin,39.75,28,11.75,0.42,"1,14 L",1140,750,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11530841-1,https://dx5vpyka4lqst.cloudfront.net/products/316844/images/full.jpeg
Bombay Sapphire,Bombay Sapphire London Dry Gin,39.75,58,-18.25,-0.31,"1,14 L",1140,1750,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11530841-1,https://dx5vpyka4lqst.cloudfront.net/products/582973/images/full.jpeg
Bombay Sapphire,Bombay Sapphire East,39.75,31,8.75,0.28,"1,14 L",1140,750,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11530841-1,https://dx5vpyka4lqst.cloudfront.net/products/319673/images/full.jpeg
Bombay Sapphire,Bombay Sapphire London Dry Gin,39.75,15,24.75,1.65,"1,14 L",1140,375,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11530841-1,https://dx5vpyka4lqst.cloudfront.net/products/637058/images/full.jpeg
Bombay Sapphire,Bombay Sapphire Gin,39.75,8,31.75,3.97,"1,14 L",1140,200,Dry gin,Gin,http://s7d9.scene7.com/is/image/SAQ/11530841-1,https://dx5vpyka4lqst.cloudfront.net/products/260844/images/full.jpeg
