Numéro,Nom,Catégorie,Sous-catégorie,Origine,Volume,Prix,Inventaire,Inventaire (quantité en ml),Inventaire (cents),Inventaire ($)
407353,Breezer Real Coco-Water Lime,Ready-to-Drink/Coolers,Coolers,"Canada, Ontario",1420,9.94,7044,10002480,7001736,"70 017,36 $"
407346,Crabbie's Fruits Zesty Lemon,Ready-to-Drink/Coolers,Coolers,"United Kingdom, England",1320,9.94,7575,9999000,7529550,"75 295,50 $"
407734,Beve Orange Pomelo,Ready-to-Drink/Coolers,Coolers,"USA, Wisconsin",2130,12.45,4672,9951360,5816640,"58 166,40 $"
399162,Mill Street Tankhouse Ale,Beer,Ale,"Canada, Ontario",473,2.9,20988,9927324,6086520,"60 865,20 $"
20289,Yellow Tail Shiraz,Wine,Red Wine,"Australia, Region Not Specified",1500,22.95,6603,9904500,15153885,"151 538,85 $"
900647,Molson Export,Beer,Ale,"Canada, Ontario",8184,34.95,1210,9902640,4228950,"42 289,50 $"
605956,Bailey's Original Irish Cream,Spirits,Liqueur/Liquor,"Ireland, Region Not Specified",1140,39.95,8655,9866700,34576725,"345 767,25 $"
696906,Lakeport Pilsener,Beer,Lager,"Canada, Ontario",8184,32.95,1205,9861720,3970475,"39 704,75 $"
378158,Pabst Blue Ribbon 5.9%.,Beer,Lager,"Canada, Ontario",2838,12.15,3469,9845022,4214835,"42 148,35 $"
383786,Mill Street 100Th Meridian Organic Amber Lager,Beer,Lager,"Canada, Ontario",2046,13.95,4811,9843306,6711345,"67 113,45 $"
37028,Folonari Soave,Wine,White Wine,"Italy, Veneto",1500,15.95,6557,9835500,10458415,"104 584,15 $"
54213,Alberta Premium Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",1750,57.15,5607,9812250,32044005,"320 440,05 $"
688135,Molson Canadian,Beer,Lager,"Canada, Ontario",5115,26.5,1917,9805455,5080050,"50 800,50 $"
408054,Great Lakes Pompous Ass,Beer,Ale,"Canada, Ontario",473,2.5,20682,9782586,5170500,"51 705,00 $"
305144,Jackson-Triggs Chardonnay,Wine,White Wine,"Canada, Ontario",4000,42.95,2443,9772000,10492685,"104 926,85 $"
16394,French Cross Pinot Grigio,Wine,White Wine,"Canada, Region Not Specified",1000,10.95,9732,9732000,10656540,"106 565,40 $"
234666,Carlo Rossi California White,Wine,White Wine,"USA, Region Not Specified",3000,25.95,3231,9693000,8384445,"83 844,45 $"
333013,Smirnoff Ice VII Original,Ready-to-Drink/Coolers,Coolers,"USA, Region Not Specified",473,2.95,20486,9689878,6043370,"60 433,70 $"
53983,Barefoot Pinot Grigio,Wine,White Wine,"USA, California",750,9.94,12917,9687750,12839498,"128 394,98 $"
620674,Cono Sur Tocornal Cabernet Sauvignon Shiraz,Wine,Red Wine,"Chile, Region Not Specified",1500,13.95,6448,9672000,8994960,"89 949,60 $"
418574,Sweetwater Squeeze Radler,Beer,Lager,"Canada, Ontario",473,2.85,20445,9670485,5826825,"58 268,25 $"
370767,Rockstar Supersours Apple,Ready-to-Drink/Coolers,Coolers,"Canada, Region Not Specified",473,3.45,20441,9668593,7052145,"70 521,45 $"
681411,Sleeman Honey Brown Lager,Beer,Lager,"Canada, Ontario",2046,12.5,4723,9663258,5903750,"59 037,50 $"
57893,Lamb's Palm Breeze Rum,Spirits,Rum,"Canada, Region Not Specified",1750,57.15,5517,9654750,31529655,"315 296,55 $"
82636,Pasqua Soave DOC,Wine,White Wine,"Italy, Veneto",1500,15.95,6413,9619500,10228735,"102 287,35 $"
119370,Lakefront New Grist Gluten-Free,Beer,Specialty,"USA, Wisconsin",2130,14.4,4507,9599910,6490080,"64 900,80 $"
326728,Oyster Bay Chardonnay,Wine,White Wine,"New Zealand, Marlborough",750,18.95,12792,9594000,21682440,"216 824,40 $"
350629,Forty Creek Barrel Select Whisky,Spirits,Whisky/Whiskey,"Canada, Region Not Specified",1140,39.54,8399,9574860,33209646,"332 096,46 $"
